sheet,dimension,max_row,max_col,xml_cells,nonempty_cells,formula_cells,raw_error_cells,formula_error_cells,external_formula_cells,headers
Dashboard_2026,B1:BK29,29,63,1226,478,260,0,0,0,Connected _2025 - 2026 | REGION |  |  | OA |  |  | NY OA |  |  | TOTAL |  |  | % OA |  | 
Dashboard SUL,B1:AP18,18,42,414,190,96,71,71,0,TI SUL |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Dashboard Sulawesi,B2:X50,50,24,636,411,242,0,0,0,
Site_KAL,A1:CP815,815,94,76610,11230,603,40,1,26,"No | ASSIGNMENT DATE | WID | DU NAME | DU | Site ID | NE ID | Subc | Site Name | Branch | Cluster | RTPO / Kabupaten | Tower Owner | Program | Long | Lat | Address | Detail SOW | Band | SOW | Dismantle | CAF | Nodin | Site Solution | Datafill | Permite Submite | Permite Realease | Permite Expired | Simple Data Preparation (%) | Delivery Order 1 | Delivery Order 2 | Delivery Order 3 | Delivery Note 1 | Delivery Note 2 | Delivery Note 3 | Material On Site | LDM | Delivery Return | Return Note | Validation  | Remaks | Simple Data Preparation (%) | TI Partner | Team On Site | Clock in Date | MOS | HI Start | HI Done | HI Progress | CI  | CI Status | Connected Broadcast | Connected Date | Connected Status | GAP Analysis | Blocking Issue | SM Status | SM Kitting, PTW & EHS | SM Dismantle | SM ATP Status | SM ATP | FI Ineom | FI Ineom Status | ATP IEPMS | Dismantle | Alarm Status | DEPEDENCY | DETAIL DEPEDENCY | Clock out Date | Implementation Duration | Task Progress | Task Tamplate | Remarks | Simple Closing (%) | Date Submit ATP | eATP STATUS | eATP BLOCKING | SYSTEM UPLOAD | APPROVAL DATE | Simple Closing (%) | BAPA | BASO | BAUT/BAST | BARA | REMARK | Simple Closing (%) | STATUS | DATE | HISTORY | GAP | gap remark | PO Status | PO Number | PO Release Date"
Site_SUL,A1:WWR1742,1742,16164,544033,89032,3377,355,0,34,"No. | WID | Program CAPEX | SOW Details | Work Type | Site ID Impl | Site Name Impl | Band | Daily REMARK | ZTE ZONE | Lat | Long | Partner Actual | Monthly Target | Monthly Assignment | PO Year | Years Assigned | WID Recti | Remark | Type Antenna BOQ | Qty BOQ Antenna | Mounting Bracket | RRU Type | Qty RRU | Cabinet | BBU | CCE1B | CCF0 | BPN2 | BPQ2 | GPS | PM5 | DCPD7 | DCPD10 | CR0 | optic | Filter | Dismentle Antenna BOQ | Qty Antenna | Mounting Bracker | Dismentel Filter | Qty Filter | Dismentle RRU | Qty RRU | Dismentle Board | TP | Status Permit | Permit Release | Permit Ineom | DOID | PIC Muver | PIC TI | TI Engineer | Site Productivity Status | Addcost Productivity Status | Add Cost Amount | Add Cost Description | Total PO Amt (IDR) No Tax | MOS | MOS Info | HI Start | HI Done | HI Info | HI Progress |  Installation Start | Installation Finished | Connected Date | Connected Info | GAP Analysis | Blocking Issues | SM Status | SM Kitting, PTW & EHS | SM Dismantle | SM ATP | ATP Passed | FI Ineom | Ineom Passed | Asset Ineom | Ineom Dismentel | Blocking SM & Ineom | Status Dismentle | Dismantle Date | Status Material | DR & LDM Status | Date Inbond | DRID | PIC Mover | Remark INBOUND | Date Upload | Blocking BARA | eATP Submit Date | eATP Approve TSEL Date | eATP Status | PO Status | PO Number | PO Release Date | BAUT Approved by Tsel | BAUT Status | BAST SAP Status | YPMS Status | inv status | BOQ Source"
Sheet1,A3:C6,6,3,12,12,0,0,0,0,
Site_Upgrade PLN,A1:S15,15,19,241,227,1,0,0,0,WID | SOW Planning | Site ID Impl | Site Name Impl | Work Type | Actual registred (for WCC) | PLN ID  | Registration code | Registration date | Survey date | Survey result | remarks Upgrade | remarks | Upgrade Time | ATP | Total PO Amt (IDR) No Tax | Site PLN Productivity Status
Pvt Dash Sul,B4:AP664,664,42,10565,593,0,0,0,0,
Pvt Productivity TI,B1:W39,39,23,451,129,1,0,0,0,"PRODUCTIVITY TI JAN,FEB,MARET,APRIL MEY, JUNI, JULI AGUSTUS 2026 |  |  | "
Sheet2,B1:I48,48,9,310,291,0,0,0,0,WID | Site ID | Region | Pending | Tim | Remark | Permit realist | Plan
