sheet,cell,formula,cached_value,error,external,dependencies,functions
Dashboard_2026,AS3,D27,169,,False,,
Dashboard_2026,AV3,C25-AS3,13,,False,,
Dashboard_2026,AY3,SUM(AS3:AX3),182,,False,,SUM
Dashboard_2026,BB3,AS3/AY3,0.92857142857142905,,False,,
Dashboard_2026,AS4,D13,527,,False,,
Dashboard_2026,AV4,C11-AS4,79,,False,,
Dashboard_2026,AY4,SUM(AS4:AX4),606,,False,,SUM
Dashboard_2026,BB4,AS4/AY4,0.86963696369637,,False,,
Dashboard_2026,C11,"GETPIVOTDATA(""WID"",'Pivot Sul'!$BG$7)+GETPIVOTDATA(""WID"",'Pivot Sul'!$BN$7)",606,,False,Pivot Sul,GETPIVOTDATA
Dashboard_2026,D11,J11+M11+P11+S11+V11+Y11+AB11+G11+AE11+AH11+AK11+AN11+AQ11+AT11+AW11+AZ11,532,,False,,
Dashboard_2026,E11,D11/C11,0.87788778877887796,,False,,
Dashboard_2026,H11,G11/F11,1,,False,,
Dashboard_2026,J11,"GETPIVOTDATA(""WID"",'Pivot Sul'!$B$4,""Months (MOS)"",2,""Years (MOS)"",2025)",33,,False,Pivot Sul,GETPIVOTDATA; MONTHS; YEARS
Dashboard_2026,K11,J11/I11,1,,False,,
Dashboard_2026,M11,"GETPIVOTDATA(""WID"",'Pivot Sul'!$B$4,""Months (MOS)"",3,""Years (MOS)"",2025)",37,,False,Pivot Sul,GETPIVOTDATA; MONTHS; YEARS
Dashboard_2026,N11,M11/L11,0.97368421052631604,,False,,
Dashboard_2026,P11,"GETPIVOTDATA(""WID"",'Pivot Sul'!$B$4,""Months (MOS)"",4,""Years (MOS)"",2025)",24,,False,Pivot Sul,GETPIVOTDATA; MONTHS; YEARS
Dashboard_2026,Q11,P11/O11,0.96,,False,,
Dashboard_2026,S11,"GETPIVOTDATA(""WID"",'Pivot Sul'!$B$4,""Months (MOS)"",5,""Years (MOS)"",2025)",21,,False,Pivot Sul,GETPIVOTDATA; MONTHS; YEARS
Dashboard_2026,T11,S11/R11,0.84,,False,,
Dashboard_2026,V11,"GETPIVOTDATA(""WID"",'Pivot Sul'!$B$4,""Months (MOS)"",6)",31,,False,Pivot Sul,GETPIVOTDATA; MONTHS
Dashboard_2026,W11,V11/U11,0.939393939393939,,False,,
Dashboard_2026,Y11,"GETPIVOTDATA(""WID"",'Pivot Sul'!$B$4,""Months (MOS)"",7)",14,,False,Pivot Sul,GETPIVOTDATA; MONTHS
Dashboard_2026,Z11,Y11/X11,1,,False,,
Dashboard_2026,AB11,"GETPIVOTDATA(""WID"",'Pivot Sul'!$B$4,""Months (MOS)"",8)",16,,False,Pivot Sul,GETPIVOTDATA; MONTHS
Dashboard_2026,AC11,AB11/AA11,1,,False,,
Dashboard_2026,AE11,"GETPIVOTDATA(""WID"",'Pivot Sul'!$B$4,""Months (MOS)"",9)",41,,False,Pivot Sul,GETPIVOTDATA; MONTHS
Dashboard_2026,AF11,AE11/AD11,0.91111111111111098,,False,,
Dashboard_2026,AH11,"GETPIVOTDATA(""WID"",'Pivot Sul'!$B$4,""Months (MOS)"",10)",3,,False,Pivot Sul,GETPIVOTDATA; MONTHS
Dashboard_2026,AI11,AH11/AG11,1,,False,,
Dashboard_2026,AL11,AK11/AJ11,0,,False,,
Dashboard_2026,AN11,"GETPIVOTDATA(""WID"",'Pivot Sul'!$B$4,""Months (MOS)"",12)",2,,False,Pivot Sul,GETPIVOTDATA; MONTHS
Dashboard_2026,AO11,AN11/AM11,1,,False,,
Dashboard_2026,AP11,C11-D11+AQ11,126,,False,,
Dashboard_2026,AQ11,"GETPIVOTDATA(""WID"",'Pivot Sul'!$B$4,""Months (MOS)"",1,""Years (MOS)"",2026)",52,,False,Pivot Sul,GETPIVOTDATA; MONTHS; YEARS
Dashboard_2026,AR11,AQ11/AP11,0.41269841269841301,,False,,
Dashboard_2026,AS11,C11-D11+AT11,112,,False,,
Dashboard_2026,AT11,"GETPIVOTDATA(""WID"",'Pivot Sul'!$B$4,""Months (MOS)"",2,""Years (MOS)"",2026)",38,,False,Pivot Sul,GETPIVOTDATA; MONTHS; YEARS
Dashboard_2026,AU11,AT11/AS11,0.33928571428571402,,False,,
Dashboard_2026,AV11,C11-D11+AW11,129,,False,,
Dashboard_2026,AW11,"GETPIVOTDATA(""WID"",'Pivot Sul'!$B$4,""Months (MOS)"",3,""Years (MOS)"",2026)",55,,False,Pivot Sul,GETPIVOTDATA; MONTHS; YEARS
Dashboard_2026,AX11,AW11/AV11,0.42635658914728702,,False,,
Dashboard_2026,AY11,C11-D11+AZ11,114,,False,,
Dashboard_2026,AZ11,"GETPIVOTDATA(""WID"",'Pivot Sul'!$B$4,""Months (MOS)"",4,""Years (MOS)"",2026)",40,,False,Pivot Sul,GETPIVOTDATA; MONTHS; YEARS
Dashboard_2026,BA11,AZ11/AY11,0.35087719298245601,,False,,
Dashboard_2026,BB11,C11-D11+BC11,77,,False,,
Dashboard_2026,BC11,"GETPIVOTDATA(""WID"",'Pivot Sul'!$B$4,""Months (MOS)"",5,""Years (MOS)"",2026)",3,,False,Pivot Sul,GETPIVOTDATA; MONTHS; YEARS
Dashboard_2026,BD11,BC11/BB11,3.8961038961039002E-2,,False,,
Dashboard_2026,D12,J12+M12+P12+S12+V12+Y12+AB12+G12+AE12+AH12+AK12+AN12+AQ12+AT12+AW12+AZ12,530,,False,,
Dashboard_2026,E12,D12/D11,0.99624060150375904,,False,,
Dashboard_2026,H12,G12/F12,1,,False,,
Dashboard_2026,I12,F12+J11-G12,33,,False,,
Dashboard_2026,J12,"GETPIVOTDATA(""WID"",'Pivot Sul'!$I$4,""Months (HI Done)"",2,""Years (HI Done)"",2025)",33,,False,Pivot Sul,GETPIVOTDATA; MONTHS; YEARS
Dashboard_2026,K12,J12/I12,1,,False,,
Dashboard_2026,L12,M11+I12-J12,37,,False,,
Dashboard_2026,M12,"GETPIVOTDATA(""WID"",'Pivot Sul'!$I$4,""Months (HI Done)"",3,""Years (HI Done)"",2025)",36,,False,Pivot Sul,GETPIVOTDATA; MONTHS; YEARS
Dashboard_2026,N12,M12/L12,0.97297297297297303,,False,,
Dashboard_2026,O12,P11+L12-M12,25,,False,,
Dashboard_2026,P12,"GETPIVOTDATA(""WID"",'Pivot Sul'!$I$4,""Months (HI Done)"",4,""Years (HI Done)"",2025)",23,,False,Pivot Sul,GETPIVOTDATA; MONTHS; YEARS
Dashboard_2026,Q12,P12/O12,0.92,,False,,
Dashboard_2026,R12,S11+O12-P12,23,,False,,
Dashboard_2026,S12,"GETPIVOTDATA(""WID"",'Pivot Sul'!$I$4,""Months (HI Done)"",5,""Years (HI Done)"",2025)",22,,False,Pivot Sul,GETPIVOTDATA; MONTHS; YEARS
Dashboard_2026,T12,S12/R12,0.95652173913043503,,False,,
Dashboard_2026,U12,V11+R12-S12,32,,False,,
Dashboard_2026,V12,"GETPIVOTDATA(""WID"",'Pivot Sul'!$I$4,""Months (HI Done)"",6)",32,,False,Pivot Sul,GETPIVOTDATA; MONTHS
Dashboard_2026,W12,V12/U12,1,,False,,
Dashboard_2026,X12,Y11+U12-V12,14,,False,,
Dashboard_2026,Y12,"GETPIVOTDATA(""WID"",'Pivot Sul'!$I$4,""Months (HI Done)"",7)",15,,False,Pivot Sul,GETPIVOTDATA; MONTHS
Dashboard_2026,Z12,Y12/X12,1.0714285714285701,,False,,
Dashboard_2026,AA12,AB11+X12-Y12,15,,False,,
Dashboard_2026,AB12,"GETPIVOTDATA(""WID"",'Pivot Sul'!$I$4,""Months (HI Done)"",8)",15,,False,Pivot Sul,GETPIVOTDATA; MONTHS
Dashboard_2026,AC12,AB12/AA12,1,,False,,
Dashboard_2026,AD12,AE11+AA12-AB12,41,,False,,
Dashboard_2026,AE12,"GETPIVOTDATA(""WID"",'Pivot Sul'!$I$4,""Months (HI Done)"",9)",41,,False,Pivot Sul,GETPIVOTDATA; MONTHS
Dashboard_2026,AF12,AE12/AD12,1,,False,,
Dashboard_2026,AG12,AH11+AD12-AE12,3,,False,,
Dashboard_2026,AH12,"GETPIVOTDATA(""WID"",'Pivot Sul'!$I$4,""Months (HI Done)"",10)",3,,False,Pivot Sul,GETPIVOTDATA; MONTHS
Dashboard_2026,AI12,AH12/AG12,1,,False,,
Dashboard_2026,AM12,AN11+AJ12-AK12,2,,False,,
Dashboard_2026,AN12,"GETPIVOTDATA(""WID"",'Pivot Sul'!$I$4,""Months (HI Done)"",12)",2,,False,Pivot Sul,GETPIVOTDATA; MONTHS
Dashboard_2026,AO12,AN12/AM12,1,,False,,
Dashboard_2026,AP12,AQ11+AM12-AN12,52,,False,,
Dashboard_2026,AQ12,"GETPIVOTDATA(""WID"",'Pivot Sul'!$I$4,""Months (HI Done)"",1,""Years (HI Done)"",2026)",49,,False,Pivot Sul,GETPIVOTDATA; MONTHS; YEARS
Dashboard_2026,AR12,AQ12/AP12,0.94230769230769196,,False,,
Dashboard_2026,AS12,AT11+AP12-AQ12,41,,False,,
Dashboard_2026,AT12,"GETPIVOTDATA(""WID"",'Pivot Sul'!$I$4,""Months (HI Done)"",2,""Years (HI Done)"",2026)",37,,False,Pivot Sul,GETPIVOTDATA; MONTHS; YEARS
Dashboard_2026,AU12,AT12/AS12,0.90243902439024404,,False,,
Dashboard_2026,AV12,AW11+AS12-AT12,59,,False,,
Dashboard_2026,AW12,"GETPIVOTDATA(""WID"",'Pivot Sul'!$I$4,""Months (HI Done)"",3,""Years (HI Done)"",2026)",44,,False,Pivot Sul,GETPIVOTDATA; MONTHS; YEARS
Dashboard_2026,AX12,AW12/AV12,0.74576271186440701,,False,,
Dashboard_2026,AY12,AZ11+AV12-AW12,55,,False,,
Dashboard_2026,AZ12,"GETPIVOTDATA(""WID"",'Pivot Sul'!$I$4,""Months (HI Done)"",4,""Years (HI Done)"",2026)",52,,False,Pivot Sul,GETPIVOTDATA; MONTHS; YEARS
Dashboard_2026,BA12,AZ12/AY12,0.94545454545454499,,False,,
Dashboard_2026,BB12,BC11+AY12-AZ12,6,,False,,
Dashboard_2026,BC12,"GETPIVOTDATA(""WID"",'Pivot Sul'!$I$4,""Months (HI Done)"",5,""Years (HI Done)"",2026)",3,,False,Pivot Sul,GETPIVOTDATA; MONTHS; YEARS
Dashboard_2026,BD12,BC12/BB12,0.5,,False,,
Dashboard_2026,D13,J13+M13+P13+S13+V13+Y13+AB13+G13+AE13+AH13+AK13+AN13+AQ13+AT13+AW13+AZ13,527,,False,,
Dashboard_2026,E13,D13/D12,0.99433962264150899,,False,,
Dashboard_2026,G13,"GETPIVOTDATA(""WID"",'Pivot Sul'!$O$4,""Months (Connected Date)"",1,""Years (Connected Date)"",2025)",116,,False,Pivot Sul,GETPIVOTDATA; MONTHS; YEARS
Dashboard_2026,H13,G13/F13,1.0086956521739101,,False,,
Dashboard_2026,J13,"GETPIVOTDATA(""WID"",'Pivot Sul'!$O$4,""Months (Connected Date)"",2,""Years (Connected Date)"",2025)",38,,False,Pivot Sul,GETPIVOTDATA; MONTHS; YEARS
Dashboard_2026,K13,J13/I13,1,,False,,
Dashboard_2026,M13,"GETPIVOTDATA(""WID"",'Pivot Sul'!$O$4,""Months (Connected Date)"",3,""Years (Connected Date)"",2025)",37,,False,Pivot Sul,GETPIVOTDATA; MONTHS; YEARS
Dashboard_2026,N13,M13/L13,0.97368421052631604,,False,,
Dashboard_2026,P13,"GETPIVOTDATA(""WID"",'Pivot Sul'!$O$4,""Months (Connected Date)"",4,""Years (Connected Date)"",2025)",24,,False,Pivot Sul,GETPIVOTDATA; MONTHS; YEARS
Dashboard_2026,Q13,P13/O13,0.96,,False,,
