sheet,cell,type,value,formula
Dashboard SUL,D5,formula_error,#REF!,J5+M5+P5+S5+V5+Y5+AB5+G5+AE5+AH5+AK5+AN5
Dashboard SUL,E5,formula_error,#REF!,D5/C5
Dashboard SUL,J5,formula_error,#REF!,"GETPIVOTDATA(""WID"",'Pivot Sul'!$B$4,""Months (MOS)"",2)"
Dashboard SUL,K5,formula_error,#REF!,J5/I5
Dashboard SUL,M5,formula_error,#REF!,"GETPIVOTDATA(""WID"",'Pivot Sul'!$B$4,""Months (MOS)"",3)"
Dashboard SUL,N5,formula_error,#REF!,M5/L5
Dashboard SUL,P5,formula_error,#REF!,"GETPIVOTDATA(""WID"",'Pivot Sul'!$B$4,""Months (MOS)"",4)"
Dashboard SUL,Q5,formula_error,#REF!,P5/O5
Dashboard SUL,S5,formula_error,#REF!,"GETPIVOTDATA(""WID"",'Pivot Sul'!$B$4,""Months (MOS)"",5)"
Dashboard SUL,T5,formula_error,#REF!,S5/R5
Dashboard SUL,AK5,formula_error,#REF!,"GETPIVOTDATA(""WID"",'Pivot Sul'!$B$4,""Months (MOS)"",11)"
Dashboard SUL,AL5,formula_error,#REF!,AK5/AJ5
Dashboard SUL,AM5,formula_error,#REF!,C5-D5+AN5
Dashboard SUL,AO5,formula_error,#REF!,AN5/AM5
Dashboard SUL,D6,formula_error,#REF!,J6+M6+P6+S6+V6+Y6+AB6+G6+AE6+AH6+AK6+AN6
Dashboard SUL,E6,formula_error,#REF!,D6/D5
Dashboard SUL,I6,formula_error,#REF!,F6+J5-G6
Dashboard SUL,J6,formula_error,#REF!,"GETPIVOTDATA(""WID"",'Pivot Sul'!$I$4,""Months (HI Done)"",2)"
Dashboard SUL,K6,formula_error,#REF!,J6/I6
Dashboard SUL,L6,formula_error,#REF!,M5+I6-J6
Dashboard SUL,M6,formula_error,#REF!,"GETPIVOTDATA(""WID"",'Pivot Sul'!$I$4,""Months (HI Done)"",3)"
Dashboard SUL,N6,formula_error,#REF!,M6/L6
Dashboard SUL,O6,formula_error,#REF!,P5+L6-M6
Dashboard SUL,P6,formula_error,#REF!,"GETPIVOTDATA(""WID"",'Pivot Sul'!$I$4,""Months (HI Done)"",4)"
Dashboard SUL,Q6,formula_error,#REF!,P6/O6
Dashboard SUL,R6,formula_error,#REF!,S5+O6-P6
Dashboard SUL,S6,formula_error,#REF!,"GETPIVOTDATA(""WID"",'Pivot Sul'!$I$4,""Months (HI Done)"",5)"
Dashboard SUL,T6,formula_error,#REF!,S6/R6
Dashboard SUL,U6,formula_error,#REF!,V5+R6-S6
Dashboard SUL,W6,formula_error,#REF!,V6/U6
Dashboard SUL,X6,formula_error,#REF!,Y5+U6-V6
Dashboard SUL,Z6,formula_error,#REF!,Y6/X6
Dashboard SUL,AA6,formula_error,#REF!,AB5+X6-Y6
Dashboard SUL,AC6,formula_error,#REF!,AB6/AA6
Dashboard SUL,AD6,formula_error,#REF!,AE5+AA6-AB6
Dashboard SUL,AF6,formula_error,#REF!,AE6/AD6
Dashboard SUL,AG6,formula_error,#REF!,AH5+AD6-AE6
Dashboard SUL,AI6,formula_error,#REF!,AH6/AG6
Dashboard SUL,AJ6,formula_error,#REF!,AK5+AG6-AH6
Dashboard SUL,AK6,formula_error,#REF!,"GETPIVOTDATA(""WID"",'Pivot Sul'!$I$4,""Months (HI Done)"",11)"
Dashboard SUL,AL6,formula_error,#REF!,AK6/AJ6
Dashboard SUL,AM6,formula_error,#REF!,AN5+AJ6-AK6
Dashboard SUL,AO6,formula_error,#REF!,AN6/AM6
Dashboard SUL,D7,formula_error,#REF!,J7+M7+P7+S7+V7+Y7+AB7+G7+AE7+AH7+AK7+AN7
Dashboard SUL,E7,formula_error,#REF!,D7/D6
Dashboard SUL,G7,formula_error,#REF!,"GETPIVOTDATA(""WID"",'Pivot Sul'!$O$4,""Months (Connected Date)"",1)"
Dashboard SUL,H7,formula_error,#REF!,G7/F7
Dashboard SUL,J7,formula_error,#REF!,"GETPIVOTDATA(""WID"",'Pivot Sul'!$O$4,""Months (Connected Date)"",2)"
Dashboard SUL,K7,formula_error,#REF!,J7/I7
Dashboard SUL,M7,formula_error,#REF!,"GETPIVOTDATA(""WID"",'Pivot Sul'!$O$4,""Months (Connected Date)"",3)"
Dashboard SUL,N7,formula_error,#REF!,M7/L7
Dashboard SUL,P7,formula_error,#REF!,"GETPIVOTDATA(""WID"",'Pivot Sul'!$O$4,""Months (Connected Date)"",4)"
Dashboard SUL,Q7,formula_error,#REF!,P7/O7
Dashboard SUL,R7,formula_error,#REF!,S6+O7-P7
Dashboard SUL,S7,formula_error,#REF!,"GETPIVOTDATA(""WID"",'Pivot Sul'!$O$4,""Months (Connected Date)"",5)"
Dashboard SUL,T7,formula_error,#REF!,S7/R7
Dashboard SUL,U7,formula_error,#REF!,V6+R7-S7
Dashboard SUL,W7,formula_error,#REF!,V7/U7
Dashboard SUL,X7,formula_error,#REF!,Y6+U7-V7
Dashboard SUL,Z7,formula_error,#REF!,Y7/X7
Dashboard SUL,AA7,formula_error,#REF!,AB6+X7-Y7
Dashboard SUL,AC7,formula_error,#REF!,AB7/AA7
Dashboard SUL,AD7,formula_error,#REF!,AE6+AA7-AB7
Dashboard SUL,AF7,formula_error,#REF!,AE7/AD7
Dashboard SUL,AG7,formula_error,#REF!,AH6+AD7-AE7
Dashboard SUL,AI7,formula_error,#REF!,AH7/AG7
Dashboard SUL,AJ7,formula_error,#REF!,AK6+AG7-AH7
Dashboard SUL,AL7,formula_error,#REF!,AK7/AJ7
Dashboard SUL,AM7,formula_error,#REF!,AN6+AJ7-AK7
Dashboard SUL,AN7,formula_error,#REF!,"GETPIVOTDATA(""WID"",'Pivot Sul'!$O$4,""Months (Connected Date)"",12)"
Dashboard SUL,AO7,formula_error,#REF!,AN7/AM7
Site_KAL,AC23,formula_error,#VALUE!,"IF(Z23="""",""Permit NY Requested"",IF(AA23="""",""Permit NY Release"",IF(AB23-TODAY()<1,""Expired Need Extend"",""Permit Ready"")))"
Site_KAL,CN29,cell_error,#N/A,
Site_KAL,CO29,cell_error,#N/A,
Site_KAL,CP29,cell_error,#N/A,
Site_KAL,CN35,cell_error,#N/A,
Site_KAL,CO35,cell_error,#N/A,
Site_KAL,CP35,cell_error,#N/A,
Site_KAL,CN38,cell_error,#N/A,
Site_KAL,CO38,cell_error,#N/A,
Site_KAL,CP38,cell_error,#N/A,
Site_KAL,CN70,cell_error,#N/A,
Site_KAL,CO70,cell_error,#N/A,
Site_KAL,CP70,cell_error,#N/A,
Site_KAL,CN108,cell_error,#N/A,
Site_KAL,CO108,cell_error,#N/A,
Site_KAL,CP108,cell_error,#N/A,
Site_KAL,CN120,cell_error,#N/A,
Site_KAL,CO120,cell_error,#N/A,
Site_KAL,CP120,cell_error,#N/A,
Site_KAL,CN121,cell_error,#N/A,
Site_KAL,CO121,cell_error,#N/A,
Site_KAL,CP121,cell_error,#N/A,
Site_KAL,CN122,cell_error,#N/A,
Site_KAL,CO122,cell_error,#N/A,
Site_KAL,CP122,cell_error,#N/A,
Site_KAL,CN123,cell_error,#N/A,
Site_KAL,CO123,cell_error,#N/A,
Site_KAL,CP123,cell_error,#N/A,
Site_KAL,CN128,cell_error,#N/A,
