sheet,column,header,source_role
Dashboard_2026,B,Connected _2025 - 2026,header
Dashboard_2026,AP,REGION,header
Dashboard_2026,AS,OA,header
Dashboard_2026,AV,NY OA,header
Dashboard_2026,AY,TOTAL,header
Dashboard_2026,BB,% OA,header
Dashboard SUL,B,TI SUL,header
Site_KAL,A,No,header
Site_KAL,B,ASSIGNMENT DATE,header
Site_KAL,C,WID,header
Site_KAL,D,DU NAME,header
Site_KAL,E,DU,header
Site_KAL,F,Site ID,header
Site_KAL,G,NE ID,header
Site_KAL,H,Subc,header
Site_KAL,I,Site Name,header
Site_KAL,J,Branch,header
Site_KAL,K,Cluster,header
Site_KAL,L,RTPO / Kabupaten,header
Site_KAL,M,Tower Owner,header
Site_KAL,N,Program,header
Site_KAL,O,Long,header
Site_KAL,P,Lat,header
Site_KAL,Q,Address,header
Site_KAL,R,Detail SOW,header
Site_KAL,S,Band,header
Site_KAL,T,SOW,header
Site_KAL,U,Dismantle,header
Site_KAL,V,CAF,header
Site_KAL,W,Nodin,header
Site_KAL,X,Site Solution,header
Site_KAL,Y,Datafill,header
Site_KAL,Z,Permite Submite,header
Site_KAL,AA,Permite Realease,header
Site_KAL,AB,Permite Expired,header
Site_KAL,AC,Simple Data Preparation (%),header
Site_KAL,AD,Delivery Order 1,header
Site_KAL,AE,Delivery Order 2,header
Site_KAL,AF,Delivery Order 3,header
Site_KAL,AG,Delivery Note 1,header
Site_KAL,AH,Delivery Note 2,header
Site_KAL,AI,Delivery Note 3,header
Site_KAL,AJ,Material On Site,header
Site_KAL,AK,LDM,header
Site_KAL,AL,Delivery Return,header
Site_KAL,AM,Return Note,header
Site_KAL,AN,Validation ,header
Site_KAL,AO,Remaks,header
Site_KAL,AP,Simple Data Preparation (%),header
Site_KAL,AQ,TI Partner,header
Site_KAL,AR,Team On Site,header
Site_KAL,AS,Clock in Date,header
Site_KAL,AT,MOS,header
Site_KAL,AU,HI Start,header
Site_KAL,AV,HI Done,header
Site_KAL,AW,HI Progress,header
Site_KAL,AX,CI ,header
Site_KAL,AY,CI Status,header
Site_KAL,AZ,Connected Broadcast,header
Site_KAL,BA,Connected Date,header
Site_KAL,BB,Connected Status,header
Site_KAL,BC,GAP Analysis,header
Site_KAL,BD,Blocking Issue,header
Site_KAL,BE,SM Status,header
Site_KAL,BF,"SM Kitting, PTW & EHS",header
Site_KAL,BG,SM Dismantle,header
Site_KAL,BH,SM ATP Status,header
Site_KAL,BI,SM ATP,header
Site_KAL,BJ,FI Ineom,header
Site_KAL,BK,FI Ineom Status,header
Site_KAL,BL,ATP IEPMS,header
Site_KAL,BM,Dismantle,header
Site_KAL,BN,Alarm Status,header
Site_KAL,BO,DEPEDENCY,header
Site_KAL,BP,DETAIL DEPEDENCY,header
Site_KAL,BQ,Clock out Date,header
Site_KAL,BR,Implementation Duration,header
Site_KAL,BS,Task Progress,header
Site_KAL,BT,Task Tamplate,header
Site_KAL,BU,Remarks,header
Site_KAL,BV,Simple Closing (%),header
Site_KAL,BW,Date Submit ATP,header
Site_KAL,BX,eATP STATUS,header
Site_KAL,BY,eATP BLOCKING,header
Site_KAL,BZ,SYSTEM UPLOAD,header
Site_KAL,CA,APPROVAL DATE,header
Site_KAL,CB,Simple Closing (%),header
Site_KAL,CC,BAPA,header
Site_KAL,CD,BASO,header
Site_KAL,CE,BAUT/BAST,header
Site_KAL,CF,BARA,header
Site_KAL,CG,REMARK,header
Site_KAL,CH,Simple Closing (%),header
Site_KAL,CI,STATUS,header
Site_KAL,CJ,DATE,header
Site_KAL,CK,HISTORY,header
Site_KAL,CL,GAP,header
Site_KAL,CM,gap remark,header
Site_KAL,CN,PO Status,header
Site_KAL,CO,PO Number,header
Site_KAL,CP,PO Release Date,header
Site_SUL,A,No.,header
Site_SUL,B,WID,header
Site_SUL,C,Program CAPEX,header
Site_SUL,D,SOW Details,header
Site_SUL,E,Work Type,header
Site_SUL,F,Site ID Impl,header
Site_SUL,G,Site Name Impl,header
Site_SUL,H,Band,header
Site_SUL,I,Daily REMARK,header
Site_SUL,J,ZTE ZONE,header
Site_SUL,K,Lat,header
Site_SUL,L,Long,header
Site_SUL,M,Partner Actual,header
Site_SUL,N,Monthly Target,header
Site_SUL,O,Monthly Assignment,header
Site_SUL,P,PO Year,header
Site_SUL,Q,Years Assigned,header
Site_SUL,R,WID Recti,header
Site_SUL,S,Remark,header
Site_SUL,T,Type Antenna BOQ,header
Site_SUL,U,Qty BOQ Antenna,header
Site_SUL,V,Mounting Bracket,header
Site_SUL,W,RRU Type,header
Site_SUL,X,Qty RRU,header
Site_SUL,Y,Cabinet,header
Site_SUL,Z,BBU,header
Site_SUL,AA,CCE1B,header
Site_SUL,AB,CCF0,header
Site_SUL,AC,BPN2,header
Site_SUL,AD,BPQ2,header
Site_SUL,AE,GPS,header
Site_SUL,AF,PM5,header
Site_SUL,AG,DCPD7,header
Site_SUL,AH,DCPD10,header
Site_SUL,AI,CR0,header
Site_SUL,AJ,optic,header
